Point_Code,Page_Number,Text_Snippet,Image_File
BL-19,167,19. BL19 Danshu Gallbladder Transport (膽俞) (Figure 44) Location: Inferior to the tenth vertebra in the back 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue –posterior cutaneous branches from medial branches of dorsal rami of thoracic nerve- dorsal br...,/images_acupoints/GV_7_fullpage_166.png
BL-2,156,Figure 41 2. BL2 Cuanzhu Bamboo Gathering (攢竹) (Figure 41) Location: In the depression at the medal ends of both eyebrows. | 139 | 【Chapter 3】Individual Acupoints,/images_acupoints/BL_2_page155.jpeg
BL-20,167,19. BL19 Danshu Gallbladder Transport (膽俞) (Figure 44) Location: Inferior to the tenth vertebra in the back 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue –posterior cutaneous branches from medial branches of dorsal rami of thoracic nerve- dorsal br...,/images_acupoints/GV_7_fullpage_166.png
BL-21,167,19. BL19 Danshu Gallbladder Transport (膽俞) (Figure 44) Location: Inferior to the tenth vertebra in the back 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue –posterior cutaneous branches from medial branches of dorsal rami of thoracic nerve- dorsal br...,/images_acupoints/GV_7_fullpage_166.png
BL-22,168,"Acupoint anatomy: Skin - subcutaneous tissue -posterior cutaneous branches from medial branches of dorsal rami of thoracic nerve - dorsal branch of the posterior intercostal arteries - latissimus dorsi, erector spinae, and serratus posterior inferior muscles. Locating the acupoint: With the patient ...",/images_acupoints/BL_22_fullpage_167.png
BL-23,168,"Acupoint anatomy: Skin - subcutaneous tissue -posterior cutaneous branches from medial branches of dorsal rami of thoracic nerve - dorsal branch of the posterior intercostal arteries - latissimus dorsi, erector spinae, and serratus posterior inferior muscles. Locating the acupoint: With the patient ...",/images_acupoints/BL_22_fullpage_167.png
BL-24,169,"disorders, and urinary illnesses. 24. BL24 Qihaishu Sea-of-Qi Transport (氣海俞) (Figure 44) Location: Inferior to the fifteenth vertebra in the back (third lumbar) 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue - medial and lateral branches of the dor...",/images_acupoints/BL_26_fullpage_168.png
BL-25,169,"disorders, and urinary illnesses. 24. BL24 Qihaishu Sea-of-Qi Transport (氣海俞) (Figure 44) Location: Inferior to the fifteenth vertebra in the back (third lumbar) 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue - medial and lateral branches of the dor...",/images_acupoints/BL_26_fullpage_168.png
BL-26,169,"disorders, and urinary illnesses. 24. BL24 Qihaishu Sea-of-Qi Transport (氣海俞) (Figure 44) Location: Inferior to the fifteenth vertebra in the back (third lumbar) 1 cun and 5 fens lateral to the spine on both sides. Acupoint anatomy: Skin - subcutaneous tissue - medial and lateral branches of the dor...",/images_acupoints/BL_26_fullpage_168.png
BL-27,170,"Locating the acupoint: With the patient lying in a prone position, locate the acupoint at 1 cun and 5 fens lateral to the spine below the seventeenth vertebra. Indications: Lumbar pain, diarrhea, and abdominal distention. 27. BL27 Xiaochangshu Small Intestine Transport (小腸俞) (Figure 44) Location: In...",/images_acupoints/BL_27_fullpage_169.png
BL-28,170,"Locating the acupoint: With the patient lying in a prone position, locate the acupoint at 1 cun and 5 fens lateral to the spine below the seventeenth vertebra. Indications: Lumbar pain, diarrhea, and abdominal distention. 27. BL27 Xiaochangshu Small Intestine Transport (小腸俞) (Figure 44) Location: In...",/images_acupoints/BL_27_fullpage_169.png
BL-29,170,"Locating the acupoint: With the patient lying in a prone position, locate the acupoint at 1 cun and 5 fens lateral to the spine below the seventeenth vertebra. Indications: Lumbar pain, diarrhea, and abdominal distention. 27. BL27 Xiaochangshu Small Intestine Transport (小腸俞) (Figure 44) Location: In...",/images_acupoints/BL_27_fullpage_169.png
BL-3,157,"Acupoint anatomy: Skin - subcutaneous tissue - trigeminal nerve (supratrochlear nerve and supraorbital nerve) and branches of facial nerves - supraorbital artery and vein and supratrochlear artery and vein – corrugators and orbicularis oculi. Locating the acupoint: With the patient leaning back, loc...",/images_acupoints/BL_4_fullpage_156.png
BL-30,171,"Acupoint anatomy: Skin - subcutaneous tissue - sacral nerve branches, median sacral nerve branches- superior gluteal nerve and artery and inferior gluteal nerve and artery - gluteus maximus and the piriformis. Locating the acupoint: With the patient lying in a prone position, locate the acupoint at ...",/images_acupoints/BL_31_fullpage_170.png
BL-31,171,"Acupoint anatomy: Skin - subcutaneous tissue - sacral nerve branches, median sacral nerve branches- superior gluteal nerve and artery and inferior gluteal nerve and artery - gluteus maximus and the piriformis. Locating the acupoint: With the patient lying in a prone position, locate the acupoint at ...",/images_acupoints/BL_31_fullpage_170.png
BL-32,172,"32. BL32 Ciliao Second Bone-Hole (次髎) (Figure 44) Location: In the depression adjacent to the spine under the nineteenth vertebra, or the second sacral foramen. Acupoint anatomy: Skin - subcutaneous tissue - sacral nerve branches, median sacral nerve branches- superior gluteal nerve and artery and i...",/images_acupoints/BL_32_fullpage_171.png
BL-33,172,"32. BL32 Ciliao Second Bone-Hole (次髎) (Figure 44) Location: In the depression adjacent to the spine under the nineteenth vertebra, or the second sacral foramen. Acupoint anatomy: Skin - subcutaneous tissue - sacral nerve branches, median sacral nerve branches- superior gluteal nerve and artery and i...",/images_acupoints/BL_32_fullpage_171.png
BL-34,172,"32. BL32 Ciliao Second Bone-Hole (次髎) (Figure 44) Location: In the depression adjacent to the spine under the nineteenth vertebra, or the second sacral foramen. Acupoint anatomy: Skin - subcutaneous tissue - sacral nerve branches, median sacral nerve branches- superior gluteal nerve and artery and i...",/images_acupoints/BL_32_fullpage_171.png
BL-35,173,"nerve, and the sciatic nerve - gluteus maximus. Locating the acupoint: With the patient lying in a prone position, locate the acupoint at 6 fens lateral to the lower border of the spinous process of the twenty-first vertebra in the back, or the two foramens below the fourth sacral vertebra beside ba...",/images_acupoints/BL_40_fullpage_172.png
BL-36,173,"nerve, and the sciatic nerve - gluteus maximus. Locating the acupoint: With the patient lying in a prone position, locate the acupoint at 6 fens lateral to the lower border of the spinous process of the twenty-first vertebra in the back, or the two foramens below the fourth sacral vertebra beside ba...",/images_acupoints/BL_40_fullpage_172.png
BL-37,174,"Figure 45 37. BL37 Yinmen Gate of Abundance (殷門) (Figure 45) Location: In the center of the back of the thigh, at 6 cun below chengfu Support (BL-36). Acupoint anatomy: Skin - subcutaneous tissue -posterior femoral cutaneous nerve, sciatic nerve, medial circumflex femoral artery, and the perforating...",/images_acupoints/BL_40_page173.jpeg
BL-38,175,"Figure 46 38. BL38 Fuxi Superficial Cleft (浮郄) (Figure 46) Location: Behind the thigh, lateral and superior to the popliteal fossa of the knee, at 1 cun above weiyang Bend Yang (BL-39), or behind the external epicondyle of the femur, medial to the biceps femoris, and at 1 cun above weiyang Bend Yang...",/images_acupoints/BL_38_page174.jpeg
BL-39,175,"Figure 46 38. BL38 Fuxi Superficial Cleft (浮郄) (Figure 46) Location: Behind the thigh, lateral and superior to the popliteal fossa of the knee, at 1 cun above weiyang Bend Yang (BL-39), or behind the external epicondyle of the femur, medial to the biceps femoris, and at 1 cun above weiyang Bend Yang...",/images_acupoints/BL_38_page174.jpeg
BL-4,157,"Acupoint anatomy: Skin - subcutaneous tissue - trigeminal nerve (supratrochlear nerve and supraorbital nerve) and branches of facial nerves - supraorbital artery and vein and supratrochlear artery and vein – corrugators and orbicularis oculi. Locating the acupoint: With the patient leaning back, loc...",/images_acupoints/BL_4_fullpage_156.png
BL-40,173,"nerve, and the sciatic nerve - gluteus maximus. Locating the acupoint: With the patient lying in a prone position, locate the acupoint at 6 fens lateral to the lower border of the spinous process of the twenty-first vertebra in the back, or the two foramens below the fourth sacral vertebra beside ba...",/images_acupoints/BL_40_fullpage_172.png
BL-41,178,"41. BL41 Fufen Attached Branch (附分) (Figure 47) Location: At 3 cun lateral to the spine on both sides below the second thoracic vertebra in the back. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the dorsal scapular n...",/images_acupoints/BL_13_fullpage_177.png
BL-42,178,"41. BL41 Fufen Attached Branch (附分) (Figure 47) Location: At 3 cun lateral to the spine on both sides below the second thoracic vertebra in the back. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the dorsal scapular n...",/images_acupoints/BL_13_fullpage_177.png
BL-43,178,"41. BL41 Fufen Attached Branch (附分) (Figure 47) Location: At 3 cun lateral to the spine on both sides below the second thoracic vertebra in the back. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the dorsal scapular n...",/images_acupoints/BL_13_fullpage_177.png
BL-44,179,"thoracic nerve, branch of the accessory nerve, and the dorsal scapular nerve - dorsal branch of the posterior intercostal arteries and the transverse cervical artery and vein - trapezius, rhomboid, serratus posterior superior, and erector spinae muscles. Locating the acupoint: This acupoint is locat...",/images_acupoints/GV_11_fullpage_178.png
BL-45,180,"45. BL45 Yixi Cry of Pain (譩譆) (Figure 47) Location: At 3 cun lateral to both sides of the spine below the sixth thoracic vertebra in the back. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the dorsal scapular nerve -...",/images_acupoints/BL_47_fullpage_179.png
BL-46,180,"45. BL45 Yixi Cry of Pain (譩譆) (Figure 47) Location: At 3 cun lateral to both sides of the spine below the sixth thoracic vertebra in the back. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the dorsal scapular nerve -...",/images_acupoints/BL_47_fullpage_179.png
BL-47,180,"45. BL45 Yixi Cry of Pain (譩譆) (Figure 47) Location: At 3 cun lateral to both sides of the spine below the sixth thoracic vertebra in the back. Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the thoracic nerve, branch of the accessory nerve, and the dorsal scapular nerve -...",/images_acupoints/BL_47_fullpage_179.png
BL-48,181,"Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the dorsal rami of the thoracic nerve - dorsal branch of the posterior intercostal arteries - trapezius, latissimus dorsi, and erector spinae muscles. Locating the acupoint: With the patient sitting upright, locate the acupoin...",/images_acupoints/BL_49_fullpage_180.png
BL-49,181,"Acupoint anatomy: Skin - subcutaneous tissue - medial cutaneous branch of the dorsal rami of the thoracic nerve - dorsal branch of the posterior intercostal arteries - trapezius, latissimus dorsi, and erector spinae muscles. Locating the acupoint: With the patient sitting upright, locate the acupoin...",/images_acupoints/BL_49_fullpage_180.png
BL-5,158,"Indications: Headache and dizzy vision, the heaviness of the head, nasal congestion without the ability to smell, and epilepsy. Figure 42 5. BL5 Wuchu Fifth Place (五處) (Figure 42) Location: On the front of the head, at 1 cun and 5 fens lateral to shangxing Upper Star (GV-23), and 1 cun into the hair...",/images_acupoints/GV_23_page157.jpeg
BL-50,182,"Indications: Abdominal distention, borborygmus, diarrhea, vomiting, difficulty consuming food and drink, and indigestion. 50. BL50 Weicang Stomach Granary (胃倉) (Figure 47) Location: At 3 cun lateral to both sides of the spine below the twelfth thoracic vertebra in the back. Acupoint anatomy: Skin - ...",/images_acupoints/BL_22_fullpage_181.png
BL-51,182,"Indications: Abdominal distention, borborygmus, diarrhea, vomiting, difficulty consuming food and drink, and indigestion. 50. BL50 Weicang Stomach Granary (胃倉) (Figure 47) Location: At 3 cun lateral to both sides of the spine below the twelfth thoracic vertebra in the back. Acupoint anatomy: Skin - ...",/images_acupoints/BL_22_fullpage_181.png
BL-52,182,"Indications: Abdominal distention, borborygmus, diarrhea, vomiting, difficulty consuming food and drink, and indigestion. 50. BL50 Weicang Stomach Granary (胃倉) (Figure 47) Location: At 3 cun lateral to both sides of the spine below the twelfth thoracic vertebra in the back. Acupoint anatomy: Skin - ...",/images_acupoints/BL_22_fullpage_181.png
BL-53,183,"latissimus dorsi and erector spinae muscles. Locating the acupoint: With the patient sitting upright or lying in a prone position, locate this acupoint below the fourteenth vertebra (second lumbar vertebra) and 3 cun lateral to mingmen Life Gate (GV-4), or 1 cun and 5 fens lateral to shenshu Kidney ...",/images_acupoints/GV_2_fullpage_182.png
BL-54,183,"latissimus dorsi and erector spinae muscles. Locating the acupoint: With the patient sitting upright or lying in a prone position, locate this acupoint below the fourteenth vertebra (second lumbar vertebra) and 3 cun lateral to mingmen Life Gate (GV-4), or 1 cun and 5 fens lateral to shenshu Kidney ...",/images_acupoints/GV_2_fullpage_182.png
BL-55,184,"sciatica, and dark or reddish urination with an unsmooth flow. 55. BL55 Heyang Yang Union (合陽) (Figure 48) Location: In the midline of the back of the calves, 2 cun directly below weizhong Bend Center (BL-40). Acupoint anatomy: Skin - subcutaneous tissue - small saphenous vein - posterior femoral cu...",/images_acupoints/BL_40_fullpage_183.png
BL-56,184,"sciatica, and dark or reddish urination with an unsmooth flow. 55. BL55 Heyang Yang Union (合陽) (Figure 48) Location: In the midline of the back of the calves, 2 cun directly below weizhong Bend Center (BL-40). Acupoint anatomy: Skin - subcutaneous tissue - small saphenous vein - posterior femoral cu...",/images_acupoints/BL_40_fullpage_183.png
BL-57,186,"57. BL57 Chengshan Mountain Support (承山) (Figure 49) Location: At 8 cun below weizhong Bend Center (BL-40) in the midline on the back of the calves, in the depression between the flesh below the gastrocnemius. Acupoint anatomy: Skin - subcutaneous tissue - small saphenous vein - posterior femoral cu...",/images_acupoints/BL_40_fullpage_185.png
BL-58,43,| 26 | Atlas of Acupuncturology Atlas of Acupuncturology finger scabs. These afflictions can be cured by administering acupuncture at the diverging point. (v) The collateral of the large intestine meridian (LI) diverging network vessel of the hand is called LI-6 (偏歷). It begins at three cun from the...,/images_acupoints/GB_37_fullpage_42.png
BL-59,188,"59. BL59 Fuyang Instep Yang (跗陽) (Figure 51) Location: At 3 cun above the external ankle, between the muscle and the bone. Acupoint anatomy: Skin - subcutaneous tissue – branch of the small saphenous vein - lateral sural cutaneous nerve - superficial fibular nerve, posterior tibial artery, and the t...",/images_acupoints/BL_61_fullpage_187.png
BL-6,159,"Acupoint anatomy: Skin - subcutaneous tissue - trigeminal nerve (supratrochlear nerve, supraorbital nerve, and branches of the zygomaticotemporal nerve) and branches of facial nerves - supraorbital artery and vein, supratrochlear artery and vein, and branches of the superficial temporal artery and v...",/images_acupoints/BL_7_fullpage_158.png
BL-60,188,"59. BL59 Fuyang Instep Yang (跗陽) (Figure 51) Location: At 3 cun above the external ankle, between the muscle and the bone. Acupoint anatomy: Skin - subcutaneous tissue – branch of the small saphenous vein - lateral sural cutaneous nerve - superficial fibular nerve, posterior tibial artery, and the t...",/images_acupoints/BL_61_fullpage_187.png
BL-61,188,"59. BL59 Fuyang Instep Yang (跗陽) (Figure 51) Location: At 3 cun above the external ankle, between the muscle and the bone. Acupoint anatomy: Skin - subcutaneous tissue – branch of the small saphenous vein - lateral sural cutaneous nerve - superficial fibular nerve, posterior tibial artery, and the t...",/images_acupoints/BL_61_fullpage_187.png
BL-62,190,"calcaneus. With the patient’s foot arched, locate the acupoint at 1 cun and 5 fen below kunlun Kunlun-Mountains (BL60). Indications: Flaccid paralysis in the lower limbs, heel pain, and epilepsy. 62. BL62 Shenmai Extending Vessel (申脈) (Figure 52) Location: In the depression approximately 5 fens from...",/images_acupoints/BL_60_fullpage_189.png
BL-63,190,"calcaneus. With the patient’s foot arched, locate the acupoint at 1 cun and 5 fen below kunlun Kunlun-Mountains (BL60). Indications: Flaccid paralysis in the lower limbs, heel pain, and epilepsy. 62. BL62 Shenmai Extending Vessel (申脈) (Figure 52) Location: In the depression approximately 5 fens from...",/images_acupoints/BL_60_fullpage_189.png
BL-64,191,"children, pain in the lumbosacral area, posterior lower limbs, and external ankle. Figure 53 64. BL64 Jinggu Capital Bone (京骨) (Figure 53) Location: On lateral side of the foot below the process of the fifth metatarsal bone, and in the depression along the border of the red and white flesh. Acupoint...",/images_acupoints/BL_64_page190.jpeg
BL-65,192,"bone is called jinggu Capital Bone (BL64). The acupoint named after this is located in the depression along the border between the red and white flesh, anterior and interior to it. Palpate to locate the acupoint. Indications: Headaches, pain in the nape of the neck, epilepsy, soreness and pain in th...",/images_acupoints/BL_64_fullpage_191.png
BL-66,192,"bone is called jinggu Capital Bone (BL64). The acupoint named after this is located in the depression along the border between the red and white flesh, anterior and interior to it. Palpate to locate the acupoint. Indications: Headaches, pain in the nape of the neck, epilepsy, soreness and pain in th...",/images_acupoints/BL_64_fullpage_191.png
BL-67,52,"| 35 | 【Chapter 2】Overview of Meridian and Collateral Through lengthy observations, the ancients found that when the viscera and bowels developed the disease, the corresponding locations on the limbs were affected. Similarly, diseases in the hands and feet also affected the corresponding viscera and...",/images_acupoints/LI_4_fullpage_51.png
BL-7,159,"Acupoint anatomy: Skin - subcutaneous tissue - trigeminal nerve (supratrochlear nerve, supraorbital nerve, and branches of the zygomaticotemporal nerve) and branches of facial nerves - supraorbital artery and vein, supratrochlear artery and vein, and branches of the superficial temporal artery and v...",/images_acupoints/BL_7_fullpage_158.png
BL-8,160,"acupoint on both sides. Indications: Neck and nape stiffness with an inability to turn the head and look behind, headaches, dizziness, nasal congestion, nosebleeds, and deep-source nasal congestion. 8. BL8 Luoque Declining Connection (絡卻) (Figure 43) Location: At 1 cun and 5 fens behind tongtian Cel...",/images_acupoints/GV_17_fullpage_159.png
BL-9,160,"acupoint on both sides. Indications: Neck and nape stiffness with an inability to turn the head and look behind, headaches, dizziness, nasal congestion, nosebleeds, and deep-source nasal congestion. 8. BL8 Luoque Declining Connection (絡卻) (Figure 43) Location: At 1 cun and 5 fens behind tongtian Cel...",/images_acupoints/GV_17_fullpage_159.png
CV-1,38,"| 21 | 【Chapter 2】Overview of Meridian and Collateral have no affiliated acupuncture point; instead, they use acupuncture point controlled by the twelve meridians. ii. The Pathways of the eight extra meridians The pathways of the eight extra meridians are described below: (i) The governor vessel (GV...",/images_acupoints/CV_1_fullpage_37.png
CV-10,107,"acupoint at 3 cun above the navel, 2 cun from the conception vessel, and 2 cun lateral to jianli Interior Strengthening (CV-11). Indications: Abdominal oppression and fullness, borborygmus and cutting pain, acute periumbilical pain, indigestion, and gastritis. 23. ST23 Taiyi Supreme Unity (太乙) (Figu...",/images_acupoints/CV_11_fullpage_106.png
CV-11,107,"acupoint at 3 cun above the navel, 2 cun from the conception vessel, and 2 cun lateral to jianli Interior Strengthening (CV-11). Indications: Abdominal oppression and fullness, borborygmus and cutting pain, acute periumbilical pain, indigestion, and gastritis. 23. ST23 Taiyi Supreme Unity (太乙) (Figu...",/images_acupoints/CV_11_fullpage_106.png
CV-12,106,"Locating the acupoint: With the patient lying in a supine position, lift their upper torso to locate the acupoint at 5 cun above the navel, 2 cun from the conception vessel, and 2 cun lateral to shangwan Upper Stomach Duct (CV-13). Indications: Difficulty consuming food and drink, abdominal distenti...",/images_acupoints/ST_20_fullpage_105.png
CV-13,106,"Locating the acupoint: With the patient lying in a supine position, lift their upper torso to locate the acupoint at 5 cun above the navel, 2 cun from the conception vessel, and 2 cun lateral to shangwan Upper Stomach Duct (CV-13). Indications: Difficulty consuming food and drink, abdominal distenti...",/images_acupoints/ST_20_fullpage_105.png
CV-14,104,"posterior intercostal artery - anterior and lateral cutaneous branches of the intercostal nerves - pectoralis major and pectoralis minor - intercostal muscle. Locating the acupoint: With the patient sitting upright or lying in a supine position, palpate for the intercostal space between the fifth an...",/images_acupoints/ST_20_fullpage_103.png
CV-15,45,| 28 | Atlas of Acupuncturology Atlas of Acupuncturology (xii) The collateral of the liver meridian (LR) liver diverging network vessel of the foot is called LV-5 (蠡溝). It begins five cun from the inner ankle and diverts into the lesser yang (少陽) gall bladder meridian channel of the foot. One of the...,/images_acupoints/CV_15_fullpage_44.png
CV-16,119,extensor retinaculum – between the extensor hallucis longus and the extensor digitorum longus – contains the dorsalis pedis artery and the medial branch of the deep fibular nerve – medial border of the extensor digitorum brevis – between the scaphoid and the cuneiform. Locating the acupoint: Between...,/images_acupoints/CV_16_fullpage_118.png
CV-17,133,"artery - anterior and lateral cutaneous branches of the intercostal nerves - pectoralis major and pectoralis minor - intercostal muscle – the lungs. Locating the acupoint: With the patient lying in a supine position, locate the acupoint at 1 cun and 6 fens below xiongxiang Chest Village (SP-19), 2 c...",/images_acupoints/SP_19_fullpage_132.png
CV-18,133,"artery - anterior and lateral cutaneous branches of the intercostal nerves - pectoralis major and pectoralis minor - intercostal muscle – the lungs. Locating the acupoint: With the patient lying in a supine position, locate the acupoint at 1 cun and 6 fens below xiongxiang Chest Village (SP-19), 2 c...",/images_acupoints/SP_19_fullpage_132.png
CV-19,134,cutaneous branches of the intercostal nerve - pectoralis major and pectoralis minor - medial pectoral nerve - lateral pectoral nerve and thoracoacromial artery - intercostal muscle - excessive insertion depths can penetrate the lungs and cause pneumothorax. Locating the acupoint: With the patient ly...,/images_acupoints/ST_15_page133.jpeg
CV-2,110,"29. ST29 Guilai Return (歸來) (Figure 17) Location: On the lower abdomen, 2 cun lateral to the navel, 1 cun below shuidao Waterway (ST-28), and 2 cun lateral to zhongji Central Pole (CV-3). Acupoint anatomy: Skin - subcutaneous tissue - superficial epigastric artery and vein - anterior and lateral cut...",/images_acupoints/ST_28_fullpage_109.png
CV-20,209,"25. KI25 Shencang Spirit Storehouse (神藏) (Figure 58) Location: Between the second and third ribs in the front of the chest, at 1 cun and 6 fens below yuzhong Lively Center (KI-26), and 2 cun lateral to the midline on both sides. Acupoint anatomy: Skin - subcutaneous tissue - near the medial side of ...",/images_acupoints/CV_20_fullpage_208.png
CV-21,100,"the superior border of the sternum and the medial border of the clavicle), at approximately 1 cun and 5 fens lateral to the tiantu Celestial Chimney (CV-22) acupoint of the conception vessel (CV). Indications: Shortness of breath, coughing and counterflow with qi ascent, persistent throat swelling, ...",/images_acupoints/CV_22_fullpage_99.png
CV-22,100,"the superior border of the sternum and the medial border of the clavicle), at approximately 1 cun and 5 fens lateral to the tiantu Celestial Chimney (CV-22) acupoint of the conception vessel (CV). Indications: Shortness of breath, coughing and counterflow with qi ascent, persistent throat swelling, ...",/images_acupoints/CV_22_fullpage_99.png
CV-23,294,"23. CV23 Lianquan Ridge Spring (廉泉) (Figure 91) Location: Along the midline of the neck, in the transverse crease above the laryngeal prominence. Acupoint anatomy: Skin - subcutaneous tissue - cervical fascia - supraclavicular nerve – median and transverse ridges of the hyoid bone (depressions on th...",/images_acupoints/CV_23_page293.jpeg
CV-24,50,"| 33 | 【Chapter 2】Overview of Meridian and Collateral converge with the governor vessel (GV) at this point; thus, acupuncture to the GV- 14 can reduce excessive heat from all overactive yang exuberance (陽盛). ii. The crossing of meridian vessel The term “crossing” means to traverse one another. Two o...",/images_acupoints/GV_14_fullpage_49.png
CV-3,38,"| 21 | 【Chapter 2】Overview of Meridian and Collateral have no affiliated acupuncture point; instead, they use acupuncture point controlled by the twelve meridians. ii. The Pathways of the eight extra meridians The pathways of the eight extra meridians are described below: (i) The governor vessel (GV...",/images_acupoints/CV_1_fullpage_37.png
CV-4,38,"| 21 | 【Chapter 2】Overview of Meridian and Collateral have no affiliated acupuncture point; instead, they use acupuncture point controlled by the twelve meridians. ii. The Pathways of the eight extra meridians The pathways of the eight extra meridians are described below: (i) The governor vessel (GV...",/images_acupoints/CV_1_fullpage_37.png
CV-5,109,"27. ST27 Daju Great Gigantic (大巨) (Figure 17) Location: In the abdominal area, 2 cun lateral to the navel, and 1 cun below wailing Outer Mound (ST-26). Acupoint anatomy: Skin - subcutaneous tissue - superficial epigastric artery and vein - anterior and lateral cutaneous branches of the intercostal n...",/images_acupoints/CV_5_fullpage_108.png
CV-6,283,"Pole (CV-3), and 3 cun below the navel. Indications: Enuresis, difficulty urinating, frequent urination, seminal emissions, dysmenorrhea, amenorrhea, menstrual disorders, leucorrhea, metrostaxis, uterine prolapse, mounting qi, cold qi entering the abdomen, lower abdominal pain, running piglet qi, di...",/images_acupoints/CV_5_fullpage_282.png
CV-7,38,"| 21 | 【Chapter 2】Overview of Meridian and Collateral have no affiliated acupuncture point; instead, they use acupuncture point controlled by the twelve meridians. ii. The Pathways of the eight extra meridians The pathways of the eight extra meridians are described below: (i) The governor vessel (GV...",/images_acupoints/CV_1_fullpage_37.png
CV-8,108,"gastrointestinal diseases, retching counterflow, ascites, and menstrual disorders. 25. ST25 Tianshu Celestial Pivot (天樞) (Figure 17) Location: In the abdominal area, 2 cun lateral to the navel, and 1 cun below huaroumen Celestial Pivot (ST-25). Acupoint anatomy: Skin – branches of the paraumbilical ...",/images_acupoints/ST_26_fullpage_107.png
